,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_pesquisa
55,"Casa Com 2 Dormitórios para Alugar, 80 m² Por R$850,00/mês - Setor Aeroporto - Goiânia/go",80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 850,"Setor Aeroporto, Goiânia",,,,27-07-20
56,"Casa Com 3 Dormitórios para Alugar, 200 m² Por R$1.800/mês - Setor Pedro Ludovico - Goiânia/go",447 m² área total 200 m² área útil 3 Quartos 2 Banheiros,R$ 1.800,"Setor Pedro Ludovico, Goiânia",,,,27-07-20
57,"Casa Com 2 Dormitórios para Alugar, 100 m² Por R$900,00/mês - Setor Sul - Goiânia/go",240 m² área total 100 m² área útil 2 Quartos 1 Banheiro,R$ 900,"Setor Sul, Goiânia",,,,27-07-20
58,"Casa Com 5 Dormitórios para Alugar, 240 m² Por R$5.200,00/mês - Setor Marista - Goiânia/go",240 m² área total 240 m² área útil 5 Quartos 6 Banheiros 7 Vagas,R$ 5.200,"Setor Marista, Goiânia",,,,27-07-20
59,"Sobrado Com 3 Dormitórios, 178 m² - Venda Por R$567.000ou Aluguel Por R$1.850,00/mês - Jardim",267 m² área total 178 m² área útil 3 Quartos 3 Banheiros 2 Vagas,R$ 1.850,"Jardim América, Goiânia",,,,27-07-20
60,Casa - Região Dos Lagos,500 m² área total 2 Quartos 1 Banheiro 2 Vagas,R$ 2.500,"Região Dos Lagos, Sobradinho",,,,27-07-20
61,Qr 02 Candangolândia,110 m² área total 110 m² área útil 2 Quartos 1 Banheiro 3 Vagas,R$ 1.150,"QR 02, Centro, Brasília",,,,27-07-20
62,"Casa Com 3 Dormitórios para Alugar, 200 m² Por R$1.800/mês - Setor Pedro Ludovico - Goiânia/go",447 m² área total 200 m² área útil 3 Quartos 2 Banheiros,R$ 1.800,"Setor Pedro Ludovico, Goiânia",,,,27-07-20
63,"Casa Com 2 Dormitórios para Alugar, 50 m² Por R$700,00/mês - Setor Garavelo - Aparecida De Goiânia/",50 m² área total 50 m² área útil 2 Quartos 1 Banheiro,R$ 700,"Setor Garavelo, Aparecida de Goiânia",,,,27-07-20
64,"Casa Com 3 Dormitórios para Alugar, 340 m² Por R$3.200,00/mês - Setor Leste Universitário - Goiânia",566 m² área total 340 m² área útil 3 Quartos 3 Banheiros 1 Vaga,R$ 3.200,"Setor Leste Universitário, Goiânia",,,,27-07-20
65,"Casa Com 2 Dormitórios para Alugar, 100 m² Por R$900,00/mês - Setor Sul - Goiânia/go",240 m² área total 100 m² área útil 2 Quartos 1 Banheiro,R$ 900,"Setor Sul, Goiânia",,,,27-07-20
66,"Casa Com 3 Dormitórios para Alugar, 100 m² Por R$1.200,00/mês - Jardim América - Goiânia/go",140 m² área total 100 m² área útil 3 Quartos 1 Banheiro,R$ 1.200,"Jardim América, Goiânia",,,,27-07-20
67,"Casa Com 2 Dormitórios para Alugar, 60 m² Por R$1.000,00/mês - Setor Leste Universitário - Goiânia/",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.000,"Setor Leste Universitário, Goiânia",,,,27-07-20
68,"Casa para Aluguel - Coimbra, 4 Quartos, 200 m²",200 m² área total 200 m² área útil 4 Quartos 3 Banheiros 4 Vagas,R$ 2.300,"Rua 245, Centro, Goiânia",,,,27-07-20
69,"Casa Com 2 Dormitórios para Alugar, 60 m² Por R$900,00/mês - Setor Coimbra - Goiânia/go",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 900,"Setor Coimbra, Goiânia",,,,27-07-20
70,"Casa Com 3 Dormitórios para Alugar, 100 m² Por R$1.200/mês - Samambaia Norte - Samambaia/df",100 m² área total 100 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.200,"Quadra QR 414 Conjunto 5 19, Samambaia Norte, Samambaia",,,,27-07-20
71,"Shis Qi 03, Primeira Locação, Excelente Oportunidade!",1200 m² área total 752 m² área útil 7 Quartos 6 Banheiros 6 Vagas,R$ 13.000,"Lago Sul, Brasília",,,,27-07-20
72,Casa para Alugar Com 3 Quartos,180 m² área total 180 m² área útil 3 Quartos 2 Banheiros,R$ 2.000,"Quadra Qe 9 Conjunto C 1, Guara I, Guará",,,,27-07-20
73,Casa Comercial Setor Sul,455 m² área total 361 m² área útil 0 Quartos 3 Banheiros 4 Vagas,R$ 6.000,"Rua 87 , Setor Sul, Goiânia",,,,27-07-20
74,Casa 3 Quartos na Qr 406,75 m² área total 75 m² área útil 3 Quartos 1 Vaga,R$ 900,"Quadra QR 406 Conjunto 11 2, Samambaia Norte, Samambaia",,,,27-07-20
75,"Shis Qi 27 - Maravilhosa Casa, 4 Dormitórios, Semi - Mobiliada - Lago Sul - Brasília/df",1320 m² área total 690 m² área útil 4 Quartos 6 Banheiros,R$ 13.500,"Lago Sul, Brasília",,,,27-07-20
76,Casa para Aluguel - Gama Setor Leste,100 m² área total 100 m² área útil 3 Quartos 2 Banheiros 6 Vagas,R$ 1.600,"Setor Leste, Gama",,,,27-07-20
77,Venda Ou Aluguel Casa 714 Asa Sul Recém Construída,364 m² área total 364 m² área útil 0 Quartos 6 Banheiros 4 Vagas,R$ 9.800,"Asa Sul, Brasília",,,,27-07-20
78,"Casa para Aluguel - Ceilândia, 1 Quarto, 50 m²",50 m² área total 50 m² área útil 1 Quarto 1 Banheiro,R$ 500,"Qnn 25 Conjunto F, Ceilandia Centro, Ceilândia",,,,27-07-20
79,"Casa para Aluguel - Vicente Pires I, 2 Quartos, 80 m²",80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 780,"Rua 4a, Centro, Brasília",,,,27-07-20
80,Condomínio Ouro Vermelho 2,800 m² área total 500 m² área útil 4 Quartos 5 Banheiros 4 Vagas,R$ 4.500,"Condomínio Ouro Vermelho II QUADRA 17 LOTE 02 , Centro, São Sebastião",,,,27-07-20
81,"St Mansões Qms 42 Casa 03 Qts + Qt Nos Fundos, Sozinha",400 m² área total 400 m² área útil 3 Quartos 3 Banheiros 3 Vagas,R$ 1.600,"Setor De Mansões De Sobradinho, Sobradinho",,,,27-07-20
82,Casa - Setor De Habitações Individuais Sul,4 Quartos,R$ 11.000,"Lago Sul, Brasília",,,,27-07-20
83,Shis Ql 02 - 2 - Casa Mobiliada + Ampla Área Verde (Lote Vazado),1600 m² área total 600 m² área útil 4 Quartos 6 Banheiros 6 Vagas,R$ 13.000,"Lago Sul, Brasília",,,,27-07-20
84,Casa De Dois Quartos na Qnn 08,100 m² área total 100 m² área útil 2 Quartos 2 Banheiros,R$ 1.300,"Quadra QNN 8 Conjunto M 42, Ceilandia Sul, Ceilândia",,,,27-07-20
85,"Casa Com 6 Dormitórios para Alugar, 600 m² - Park Way - Brasília/df",2500 m² área total 600 m² área útil 6 Quartos 5 Banheiros 5 Vagas,R$ 7.500,"SMPW QUADRA 28, Park Way, Brasília",,,,27-07-20
86,"Casa Com 9 Quartos, Ql 02, Conj. 3",4000 m² área total 700 m² área útil 9 Quartos 6 Vagas,R$ 13.500,"Quadra SHIS QL 2 Conjunto 3 0, Lago Sul, Brasília",,,,27-07-20
87,"Casa para Alugar Com 2 Quartos, 120 m²",120 m² área total 120 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 1.200,"Quadra QNL 17 Bloco J 0, Taguatinga Norte, Taguatinga",,,,27-07-20
88,"Casa para Aluguel - Ceilândia, 3 Quartos, 89 m²",89 m² área total 89 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 1.420,"Qnm 5 Conjunto H, Ceilandia Centro, Ceilândia",,,,27-07-20
89,"Casa para Alugar Com 1 Quarto, 40 m²",45 m² área total 40 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 1.500,"Quadra Qe 3 Conjunto G 1, Guara I, Guará",,,,27-07-20
90,"Casa para Alugar Com 2 Quartos, 110 m²",300 m² área total 110 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.200,"Quadra QNA 47 2, Taguatinga Norte, Taguatinga",,,,27-07-20
91,"Casa para Alugar Com 5 Quartos, 805 m²",805 m² área total 805 m² área útil 5 Quartos 6 Banheiros 2 Vagas,R$ 13.500,"Quadra SMPW Quadra 5 Conjunto 13 0, Park Way, Brasília",,,,27-07-20
92,"Casa para Alugar Com 1 Quarto, 45 m²",47 m² área total 45 m² área útil 1 Quarto 1 Banheiro,R$ 1.150,"Quadra QR A Conjunto K 0, Candangolandia, Candangolândia",,,,27-07-20
93,"Qe 32, Conjunto I, Casa 01 Quarto, Guará II, Brasília",35 m² área total 35 m² área útil 1 Quarto 1 Banheiro,R$ 850,"Quadra QE 32 Conjunto I 0, Guara II, Guará",,,,27-07-20
94,"Casa para Alugar Com 1 Quarto, 35 m²",35 m² área total 35 m² área útil 1 Quarto 1 Banheiro,R$ 800,"Quadra QE 3 Conjunto F 0, Guara I, Guará",,,,27-07-20
95,Casa - Paranoa,60 m² área total 60 m² área útil 2 Quartos,R$ 1.000,"Paranoa, Paranoá",,,,27-07-20
