,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_anuncio,link,data_pesquisa
53,Casa - Núcleo Bandeirante,180 m² área total 180 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 2.510,"Nucleo Bandeirante, Núcleo Bandeirante",,,,,https://www.wimoveis.com.br/propriedades/casa-nucleo-bandeirante-2950454499.html,30-07-20
54,"Casa no Condomínio Estancia Quintas Da Alvorada, 141 m² Por R$3.800/mês - Setor Habitacional Jardim",632 m² área total 141 m² área útil 3 Quartos 3 Banheiros 2 Vagas,R$ 3.800,"Condomínio Estância Quintas da Alvorada 0, Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-no-condominio-estancia-quintas-da-alvorada-141-2950461853.html,30-07-20
55,Alugo Casa De 02 Quartos no Cond. Nova Digneia II Conj. I Sobradinho - Df,45 m² área total 45 m² área útil 2 Quartos 1 Banheiro,R$ 600,"Condomínio Colina Nova Diguinea II Conj I Casa 16 Res. 01 , Sobradinho, Sobradinho",,,,,https://www.wimoveis.com.br/propriedades/alugo-casa-de-02-quartos-no-cond.-nova-digneia-ii-2950449669.html,30-07-20
56,Casa para Aluguel - em Samambaia Norte,300 m² área total 140 m² área útil 4 Quartos 2 Banheiros 4 Vagas,R$ 1.650,"Samambaia Norte, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-em-samambaia-norte-2950449642.html,30-07-20
57,"Casa para Aluguel - Samambaia, 1 Quarto, 40 m²",40 m² área total 40 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 700,"Qr 210 Conjunto 19, Samambaia, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-samambaia-1-quarto-40-m-sup2-2950425971.html,30-07-20
58,"Casa para Aluguel - Samambaia, 2 Quartos, 45 m²",45 m² área total 45 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 900,"Qr 210 Conjunto 19, Samambaia, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-samambaia-2-quartos-45-m-sup2-2950425812.html,30-07-20
59,Casa Jardim Botânico 3 Qts 3 Suítes Casa Nova E Reformada!,690 m² área total 230 m² área útil 3 Quartos 6 Banheiros 5 Vagas,R$ 5.500,"Condomínio Estância Quintas da Alvorada Condomínio Estância Quintas da Alvorada, Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-jardim-botanico-3-qts-3-suites-casa-nova-e-2950429465.html,30-07-20
60,"Qsd 26 - Casa Com 3 Dormitórios para Alugar, 110 m² - Taguatinga Sul /df",300 m² área total 110 m² área útil 3 Quartos 1 Banheiro,R$ 2.000,"Taguatinga Sul, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/qsd-26-casa-com-3-dormitorios-para-alugar-110-2950441744.html,30-07-20
61,"Qsd 17 - Casa Com 4 Dormitórios para Alugar, 155 m² - Taguatinga Sul /df",155 m² área total 155 m² área útil 4 Quartos 3 Banheiros,R$ 3.500,"Taguatinga Sul, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/qsd-17-casa-com-4-dormitorios-para-alugar-155-2950441742.html,30-07-20
62,Qnl 01 Boloco I 3 Quartos,200 m² área total 135 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.400,"QNL 01, Taguatinga Norte, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/qnl-01-boloco-i-3-quartos-2950439946.html,30-07-20
63,Casa na Qi 01 Do Lago Sul,700 m² área total 700 m² área útil 6 Quartos 8 Banheiros 5 Vagas,R$ 20.000,"SHIS QI 01 Conjunto 4, Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-na-qi-01-do-lago-sul-2950440431.html,30-07-20
64,Casa - Locação - Qi 05 - Lago Sul,420 m² área total 420 m² área útil 4 Quartos 4 Banheiros 4 Vagas,R$ 11.000,"Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-locacao-qi-05-lago-sul-2950430163.html,30-07-20
65,"Casa Com 3 Dormitórios para Alugar, 100 m² Por R$1.000,00/mês - Taguatinga Norte - Taguatinga/df",100 m² área total 100 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 1.000,"Taguatinga Norte, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/casa-com-3-dormitorios-para-alugar-100-m-sup2--por-2950442048.html,30-07-20
66,"Casa Residencial para Locação, Guará II, Guará.",90 m² área total 71 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 1.600,"Quadra QE 24 Conjunto D 0, Guara II, Guará",,,,,https://www.wimoveis.com.br/propriedades/casa-residencial-para-locacao-guara-ii-guara.-2950410828.html,30-07-20
67,"Casa para Aluguel - Ceilândia, 2 Quartos, 70 m²",70 m² área total 70 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 940,"Qnp 28 Conjunto S, Ceilandia Centro, Ceilândia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-ceilandia-2-quartos-70-m-sup2-2950417857.html,30-07-20
68,Shcgn 707 Asa Norte Casa 6 Qts 4 Suítes 470 m² Com 3 Vagas De Garagem!,470 m² área total 470 m² área útil 6 Quartos 7 Banheiros 3 Vagas,R$ 6.000,"SHCGN 707 Bloco E SHCGN 707 Bloco E, Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shcgn-707-asa-norte-casa-6-qts-4-suites-470-m-sup2-2950414575.html,30-07-20
69,"Sobrado Com 2 Dormitórios para Alugar, 200 m² Por R$1.700,00/mês - Setor Jaó - Goiânia/go",300 m² área total 200 m² área útil 2 Quartos,R$ 1.700,"Setor Jaó, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/sobrado-com-2-dormitorios-para-alugar-200-m-sup2--por-2950400288.html,30-07-20
70,"Casa para Aluguel - Setor Leste Vila Nova, 1 Quarto, 23 m²",23 m² área total 23 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 730,"Rua 208, Setor Leste Vila Nova, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-setor-leste-vila-nova-1-quarto-2950397013.html,30-07-20
71,"Casa para Aluguel - Coimbra, 4 Quartos, 200 m²",200 m² área total 200 m² área útil 4 Quartos 3 Banheiros 4 Vagas,R$ 2.300,"Rua 245, Centro, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-coimbra-4-quartos-200-m-sup2-2950397332.html,30-07-20
