,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_anuncio,link,data_pesquisa
34,Sqnw 102 - Alto Padrão | Mobiliado,220 m² área total 220 m² área útil 4 Quartos 4 Vagas,R$ 17.000,"QUADRA SQNW 102, Noroeste, Brasília",,,,,https://www.wimoveis.com.br/propriedades/sqnw-102-alto-padrao-mobiliado-2948394210.html,30-07-20
35,"Apartamento para Alugar Com 2 Quartos, 64 m²",100 m² área total 64 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 2.000,"Rua 14 5, Aguas Sul, Águas Claras",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-alugar-com-2-quartos-64-m-sup2-2950332036.html,30-07-20
36,Shigs 704 Sul Casa Nova 4 Suítes Moderna Asa Sul Brasília Df,260 m² área total 260 m² área útil 4 Quartos 4 Banheiros 2 Vagas,R$ 7.800,"Quadra SHIGS 704 16, Asa Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shigs-704-sul-casa-nova-4-suites-moderna-asa-sul-111522711.html,30-07-20
37,Apartamento para Aluguel - em Sudoeste,80 m² área total 80 m² área útil 1 Quarto 2 Banheiros 1 Vaga,R$ 3.500,"SQSW 303 Bloco J, Sudoeste, Brasília",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-em-sudoeste-2949239206.html,30-07-20
38,"Flat Residencial para Locação, Asa Sul, Brasília - Fl0045.",48 m² área total 48 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 2.300,"Trecho SCES Trecho 4 1, Asa Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/flat-residencial-para-locacao-asa-sul-brasilia-2948997058.html,30-07-20
39,Asa Norte Sepn Quadra 516 Bloco E Edifício Carlton Center,991 m² área total 845 m² área útil 7 Banheiros 12 Vagas,R$ 34.147,"SEP/Norte Quadra 516 Conjunto E Edifício Carlton Center, Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/asa-norte-sepn-quadra-516-bloco-e-edificio-carlton-111511971.html,30-07-20
40,Shn Quadra 01 Fusion Work & Live - Asa Norte - Flat Mobiliado,30 m² área total 30 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 1.550,"Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shn-quadra-01-fusion-work-live-asa-norte-flat-2937870958.html,30-07-20
41,Sia Trecho 3 - Excelente Galpão + Prédio Administrativo Área Total De 1.881 m²,2000 m² área total 1900 m² área útil 8 Banheiros 14 Vagas,R$ 35.000,"SIA TRECHO 3 LOTE 925 AO LADO DA BALI VEÍCULOS, Setor De Industrias, Brasília",,,,,https://www.wimoveis.com.br/propriedades/sia-trecho-3-excelente-galpao-predio-111532074.html,30-07-20
42,Apartamento 2 Quartos Noroeste,84 m² área total 84 m² área útil 2 Quartos 3 Banheiros 2 Vagas,R$ 3.950,"Noroeste, Brasília",,,,,https://www.wimoveis.com.br/propriedades/apartamento-2-quartos-noroeste-2950494578.html,30-07-20
43,"Apartamento para Aluguel - Asa Norte, 1 Quarto, 30 m²",30 m² área total 30 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 1.500,"Sgan 915 Conjunto F, Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-asa-norte-1-quarto-30-2949648261.html,30-07-20
44,"Casa para Aluguel - Samambaia, 1 Quarto, 40 m²",40 m² área total 40 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 700,"Qr 210 Conjunto 19, Samambaia, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-samambaia-1-quarto-40-m-sup2-2950425971.html,30-07-20
